step,reward,mean,median,std,max,min
0,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
1,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
2,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
3,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
4,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
5,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
6,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
7,-0.0223671497584541,-0.020295893719806765,-0.02,0.0007828611971145207,-0.02,-0.0223671497584541
8,-0.021015544041450777,-0.0203758548666561,-0.02,0.0007719618407360869,-0.02,-0.0223671497584541
9,-0.02,-0.02033826937999049,-0.02,0.0007409767840279473,-0.02,-0.0223671497584541
10,-0.02,-0.020307517618173173,-0.02,0.0007131549454692402,-0.02,-0.0223671497584541
11,-0.021863117870722433,-0.020437150972552276,-0.02,0.0008068831083062759,-0.02,-0.0223671497584541
12,-0.02,-0.02040352397466364,-0.02,0.0007839311735689918,-0.02,-0.0223671497584541
13,-0.02,-0.020374700833616238,-0.02,0.0007625298998026681,-0.02,-0.0223671497584541
14,-0.02,-0.020349720778041824,-0.02,0.0007425795822836377,-0.02,-0.0223671497584541
15,-0.02,-0.020327863229414208,-0.02,0.0007239659489597115,-0.02,-0.0223671497584541
16,-0.02,-0.020308577157095727,-0.02,0.0007065740969969121,-0.02,-0.0223671497584541
17,-0.02,-0.02029143398170152,-0.02,0.0006902949489108732,-0.02,-0.0223671497584541
18,-0.02,-0.02027609535108565,-0.02,0.000675027939552358,-0.02,-0.0223671497584541
19,-0.02,-0.02026229058353137,-0.02,0.0006606818021974078,-0.02,-0.0223671497584541
20,-0.02,-0.020249800555744164,-0.02,0.0006471744156102148,-0.02,-0.0223671497584541
21,-0.02,-0.02023844598502852,-0.02,0.0006344322138804678,-0.02,-0.0223671497584541
22,-0.02,-0.02022807876828815,-0.02,0.000622389421461059,-0.02,-0.0223671497584541
23,-0.02,-0.020218575486276136,-0.02,0.0006109872489961217,-0.02,-0.0223671497584541
24,-0.02,-0.020209832466825093,-0.02,0.000600173117556366,-0.02,-0.0223671497584541
25,-0.02,-0.02020176198733182,-0.02,0.0005898999423450673,-0.02,-0.0223671497584541
26,-0.02,-0.020194289321134345,-0.02,0.0005801254874145756,-0.02,-0.0223671497584541
27,-0.02,-0.02018735041680812,-0.02,0.0005708117927344434,-0.02,-0.0223671497584541
28,-0.02,-0.020180890057607842,-0.02,0.0005619246698802599,-0.02,-0.0223671497584541
29,-0.02,-0.020174860389020912,-0.02,0.0005534332603492631,-0.02,-0.0223671497584541
30,-0.02,-0.020169219731310563,-0.02,0.0005453096497632191,-0.02,-0.0223671497584541
31,-0.02,-0.020163931614707108,-0.02,0.0005375285312679189,-0.02,-0.0223671497584541
32,-0.02,-0.020158963990019013,-0.02,0.0005300669118777013,-0.02,-0.0223671497584541
33,-0.021507692307692308,-0.020198632469950583,-0.02,0.0005697679300000044,-0.02,-0.0223671497584541
34,-0.02,-0.020192957256523425,-0.02,0.0005625435697253982,-0.02,-0.0223671497584541
35,-0.021317204301075268,-0.02022418634109431,-0.02,0.0005846356079152942,-0.02,-0.0223671497584541
36,-0.02,-0.020218127250794464,-0.02,0.000577825788198757,-0.02,-0.0223671497584541
37,-0.02257894736842105,-0.020280254095995164,-0.02,0.0006840371461438179,-0.02,-0.02257894736842105
38,-0.02,-0.02027306809353375,-0.02,0.000676662009127695,-0.02,-0.02257894736842105
39,-0.02105603448275862,-0.020292642253264364,-0.02,0.0006792403471298262,-0.02,-0.02257894736842105
40,-0.02,-0.020285504637331087,-0.02,0.000672422788878847,-0.02,-0.02257894736842105
41,-0.02,-0.020278706907870824,-0.02,0.000665793847720098,-0.02,-0.02257894736842105
42,-0.02,-0.02027222535187383,-0.02,0.0006593459036409086,-0.02,-0.02257894736842105
43,-0.02,-0.020266038412058516,-0.02,0.0006530716633410947,-0.02,-0.02257894736842105
44,-0.024516129032258062,-0.020360484870285172,-0.02,0.0008997280893184536,-0.02,-0.024516129032258062
45,-0.02,-0.020352648242670277,-0.02,0.0008914461006640919,-0.02,-0.024516129032258062
46,-0.02,-0.02034514508857091,-0.02,0.0008833786413399586,-0.02,-0.024516129032258062
47,-0.02,-0.02033795456589235,-0.02,0.0008755172409951984,-0.02,-0.024516129032258062
48,-0.02,-0.02033105753393536,-0.02,0.0008678538329225423,-0.02,-0.024516129032258062
49,-0.02,-0.020324436383256653,-0.02,0.0008603807366458049,-0.02,-0.024516129032258062
50,-0.021018711018711018,-0.020338049611402818,-0.02,0.00085732502988217,-0.02,-0.024516129032258062
51,-0.02,-0.02033154865733738,-0.02,0.0008503098580558248,-0.02,-0.024516129032258062
52,-0.02,-0.02032529302229328,-0.02,0.0008434570249931117,-0.02,-0.024516129032258062
53,-0.02,-0.020319269077435996,-0.02,0.0008367607617812757,-0.02,-0.024516129032258062
54,-0.02,-0.02031346418511898,-0.02,0.0008302155506948818,-0.02,-0.024516129032258062
55,-0.02,-0.020307866610384712,-0.02,0.0008238161147325285,-0.02,-0.024516129032258062
56,-0.02443438914027149,-0.020380261742487984,-0.02,0.0009799313933736241,-0.02,-0.024516129032258062
57,-0.021895551257253384,-0.020406387423777046,-0.02,0.0009912692132210009,-0.02,-0.024516129032258062
58,-0.02,-0.020399499501340148,-0.02,0.0009842316236603928,-0.02,-0.024516129032258062
59,-0.02,-0.02039284117631781,-0.02,0.0009773343108154108,-0.02,-0.024516129032258062
60,-0.02160655737704918,-0.020412738163215045,-0.02,0.0009814667764217093,-0.02,-0.024516129032258062
61,-0.02,-0.020406081096066418,-0.02,0.0009749069781274894,-0.02,-0.024516129032258062
62,-0.02,-0.020399635364382822,-0.02,0.0009684694893121612,-0.02,-0.024516129032258062
63,-0.02,-0.020393391061814335,-0.02,0.0009621509232186522,-0.02,-0.024516129032258062
64,-0.02,-0.020387338891632578,-0.02,0.000955947996631082,-0.02,-0.024516129032258062
65,-0.02,-0.020381470120547234,-0.02,0.0009498575284776752,-0.02,-0.024516129032258062
66,-0.02,-0.02037577653665847,-0.02,0.000943876438058035,-0.02,-0.024516129032258062
67,-0.022519280205655526,-0.020407298649437838,-0.02,0.0009717897614114626,-0.02,-0.024516129032258062
68,-0.02,-0.02040139577046048,-0.02,0.0009659493423069334,-0.02,-0.024516129032258062
69,-0.02,-0.020395661545168187,-0.02,0.0009602070310398467,-0.02,-0.024516129032258062
70,-0.02,-0.020390088847348917,-0.02,0.0009545603746477245,-0.02,-0.024516129032258062
71,-0.02,-0.020384670946691292,-0.02,0.0009490069881371274,-0.02,-0.024516129032258062
72,-0.02,-0.020379401481668124,-0.02,0.0009435445536265135,-0.02,-0.024516129032258062
73,-0.02,-0.020374274434618554,-0.02,0.000938170819291293,-0.02,-0.024516129032258062
74,-0.02,-0.020369284108823642,-0.02,0.0009328835981521746,-0.02,-0.024516129032258062
75,-0.02,-0.020364425107391754,-0.02,0.0009276807667413428,-0.02,-0.024516129032258062
76,-0.02,-0.02035969231378926,-0.02,0.0009225602636754735,-0.02,-0.024516129032258062
77,-0.02,-0.020355080873868888,-0.02,0.0009175200881598995,-0.02,-0.024516129032258062
78,-0.02,-0.020350586179262952,-0.02,0.0009125582984442737,-0.02,-0.024516129032258062
79,-0.02,-0.02034620385202216,-0.02,0.000907673010246722,-0.02,-0.024516129032258062
80,-0.02,-0.02034192973039226,-0.02,0.0009028623951606302,-0.02,-0.024516129032258062
81,-0.021318977119784654,-0.02035384494245802,-0.02,0.0009037252222861605,-0.02,-0.024516129032258062
82,-0.02,-0.02034958175038021,-0.02,0.0008990937772284976,-0.02,-0.024516129032258062
83,-0.02,-0.020345420062875687,-0.02,0.0008945298780646506,-0.02,-0.024516129032258062
84,-0.02,-0.02034135629743009,-0.02,0.0008900320043469123,-0.02,-0.024516129032258062
85,-0.02102510460251046,-0.02034930685911707,-0.02,0.0008878731963883197,-0.02,-0.024516129032258062
86,-0.02,-0.02034529183774791,-0.02,0.0008835406222647105,-0.02,-0.024516129032258062
87,-0.021152941176470586,-0.020354469671142485,-0.02,0.0008826671596577166,-0.02,-0.024516129032258062
88,-0.02251282051282051,-0.020378720804195047,-0.02,0.0009066982427262787,-0.02,-0.024516129032258062
89,-0.021808118081180813,-0.020394602996161557,-0.02,0.0009140114648734193,-0.02,-0.024516129032258062
90,-0.02,-0.02039026669950044,-0.02,0.0009099059643584345,-0.02,-0.024516129032258062
91,-0.02,-0.020386024670158046,-0.02,0.0009058516242577559,-0.02,-0.024516129032258062
92,-0.02,-0.020381873867253122,-0.02,0.0009018475178635407,-0.02,-0.024516129032258062
93,-0.02,-0.02037781137930362,-0.02,0.0008978927352763568,-0.02,-0.024516129032258062
94,-0.02,-0.020373834417416213,-0.02,0.0008939863834987328,-0.02,-0.024516129032258062
95,-0.02187022900763359,-0.020389421861064308,-0.02,0.0009022020452411957,-0.02,-0.024516129032258062
96,-0.02216335540838852,-0.02040770983577899,-0.02,0.0009152509514490467,-0.02,-0.024516129032258062
97,-0.02,-0.020403549531332266,-0.02,0.0009114907536647545,-0.02,-0.024516129032258062
98,-0.02,-0.020399473273440022,-0.02,0.0009077729206210711,-0.02,-0.024516129032258062
99,-0.02,-0.02039547854070562,-0.02,0.0009040967811750519,-0.02,-0.024516129032258062
