step,reward,mean,median,std,max,min
0,-0.03180722891566265,-0.03180722891566265,-0.03180722891566265,0.0,-0.03180722891566265,-0.03180722891566265
1,-0.02556818181818182,-0.028687705366922236,-0.028687705366922236,0.003119523548740415,-0.02556818181818182,-0.03180722891566265
2,-0.021392045454545452,-0.02625581872946331,-0.02556818181818182,0.004279691968938876,-0.021392045454545452,-0.03180722891566265
3,-0.02,-0.024691864047097483,-0.023480113636363636,0.004590717292235704,-0.02,-0.03180722891566265
4,-0.02,-0.023753491237677987,-0.021392045454545452,0.0045146342402919955,-0.02,-0.03180722891566265
5,-0.023512544802867383,-0.023713333498542887,-0.022452295128706418,0.004122256480344587,-0.02,-0.03180722891566265
6,-0.02,-0.02318285728446533,-0.021392045454545452,0.004031607292276228,-0.02,-0.03180722891566265
7,-0.02,-0.022785000123907162,-0.020696022727272726,0.003915374494310199,-0.02,-0.03180722891566265
8,-0.02273743016759776,-0.022779714573206118,-0.021392045454545452,0.0036914807464528093,-0.02,-0.03180722891566265
9,-0.02,-0.022501743115885507,-0.020696022727272726,0.0035999639263544184,-0.02,-0.03180722891566265
10,-0.02,-0.022274311923532276,-0.02,0.0035069689957491572,-0.02,-0.03180722891566265
11,-0.024049586776859505,-0.022422251494642876,-0.020696022727272726,0.003393328188188499,-0.02,-0.03180722891566265
12,-0.02,-0.022235924456593427,-0.02,0.003323483872615368,-0.02,-0.03180722891566265
13,-0.02,-0.022076215566836754,-0.02,0.003253946470200214,-0.02,-0.03180722891566265
14,-0.02,-0.021937801195714306,-0.02,0.0031859863971353767,-0.02,-0.03180722891566265
15,-0.02,-0.021816688620982162,-0.02,0.003120276642612746,-0.02,-0.03180722891566265
16,-0.02,-0.0217098245844538,-0.02,0.003057144381602731,-0.02,-0.03180722891566265
17,-0.02,-0.021614834329761926,-0.02,0.002996714159118046,-0.02,-0.03180722891566265
18,-0.02,-0.02152984304924814,-0.02,0.0029389916512956756,-0.02,-0.03180722891566265
19,-0.02,-0.021453350896785732,-0.02,0.0028839137068304775,-0.02,-0.03180722891566265
20,-0.02,-0.021384143711224508,-0.02,0.00283137869725689,-0.02,-0.03180722891566265
21,-0.02,-0.021321228087987032,-0.02,0.002781265093294801,-0.02,-0.03180722891566265
22,-0.02,-0.021263783388509337,-0.02,0.0027334428643553807,-0.02,-0.03180722891566265
23,-0.02124365482233502,-0.021262944698252063,-0.02,0.0026758932761598263,-0.02,-0.03180722891566265
24,-0.02141414141414141,-0.021268992566887638,-0.02,0.0026219966578053203,-0.02,-0.03180722891566265
25,-0.02,-0.021220185160468884,-0.02,0.002582634818414195,-0.02,-0.03180722891566265
26,-0.02,-0.021174993117488557,-0.02,0.002544811547290559,-0.02,-0.03180722891566265
27,-0.02151234567901234,-0.021187041423257263,-0.02,0.0024997394087540445,-0.02,-0.03180722891566265
28,-0.02,-0.021146108960386326,-0.02,0.0024657935558252417,-0.02,-0.03180722891566265
29,-0.02,-0.021107905328373446,-0.02,0.0024330623924226163,-0.02,-0.03180722891566265
30,-0.02,-0.021072166446813013,-0.02,0.0024014890345969105,-0.02,-0.03180722891566265
31,-0.02390438247011952,-0.02116067319754134,-0.02,0.0024144902052960363,-0.02,-0.03180722891566265
32,-0.02162251655629139,-0.021174668450836796,-0.02,0.002378943298140233,-0.02,-0.03180722891566265
33,-0.02,-0.02114011937875336,-0.02,0.0023520861352818775,-0.02,-0.03180722891566265
34,-0.02,-0.02110754453936041,-0.02,0.002326009736970502,-0.02,-0.03180722891566265
35,-0.023299663299663296,-0.0211684367271466,-0.02,0.002321596356490539,-0.02,-0.03180722891566265
36,-0.02,-0.021136857356142638,-0.02,0.002297833839036406,-0.02,-0.03180722891566265
37,-0.02,-0.02110694005729678,-0.02,0.0022746886771618465,-0.02,-0.03180722891566265
38,-0.02,-0.021078556978904556,-0.02,0.002252143274854048,-0.02,-0.03180722891566265
39,-0.02403292181069959,-0.02115241609969943,-0.02,0.0022711444728303063,-0.02,-0.03180722891566265
40,-0.02,-0.021124308389950663,-0.02,0.0022503092456767687,-0.02,-0.03180722891566265
41,-0.02,-0.021097539142570884,-0.02,0.002229955862336015,-0.02,-0.03180722891566265
42,-0.021743772241992882,-0.02111256781930163,-0.02,0.0022060247178876673,-0.02,-0.03180722891566265
43,-0.023181818181818182,-0.02115959623663155,-0.02,0.0022025084918741206,-0.02,-0.03180722891566265
44,-0.02116666666666666,-0.021159753357298996,-0.02,0.0021778989354078807,-0.02,-0.03180722891566265
45,-0.02,-0.021134541327792498,-0.02,0.0021607253104505104,-0.02,-0.03180722891566265
46,-0.02,-0.021110402150605424,-0.02,0.002143875765605707,-0.02,-0.03180722891566265
47,-0.02418803418803419,-0.02117451948471852,-0.02,0.0021664873856213343,-0.02,-0.03180722891566265
48,-0.02,-0.021150549699316103,-0.02,0.002150687538186806,-0.02,-0.03180722891566265
49,-0.021195121951219507,-0.02115144114435417,-0.02,0.002129081184035105,-0.02,-0.03180722891566265
50,-0.02,-0.021128863867013892,-0.02,0.002114140787386588,-0.02,-0.03180722891566265
51,-0.02,-0.021107154946494396,-0.02,0.0020994458148234935,-0.02,-0.03180722891566265
52,-0.02,-0.021086265230522802,-0.02,0.0020849942122490236,-0.02,-0.03180722891566265
53,-0.02,-0.021066149207735346,-0.02,0.0020707833848921204,-0.02,-0.03180722891566265
54,-0.022565445026178008,-0.02109340913170703,-0.02,0.002061626824211767,-0.02,-0.03180722891566265
55,-0.02,-0.02107388396864083,-0.02,0.0020482613640455095,-0.02,-0.03180722891566265
56,-0.02,-0.021055043899015552,-0.02,0.0020351040888681713,-0.02,-0.03180722891566265
57,-0.021107344632768362,-0.021055945635804395,-0.02,0.0020174952950393734,-0.02,-0.03180722891566265
58,-0.02,-0.021038048252146693,-0.02,0.0020049632648942834,-0.02,-0.03180722891566265
59,-0.02,-0.021020747447944247,-0.02,0.00199262125948535,-0.02,-0.03180722891566265
60,-0.02,-0.02100401388322385,-0.02,0.0019804669661064836,-0.02,-0.03180722891566265
61,-0.02,-0.02098782011091379,-0.02,0.001968497866557078,-0.02,-0.03180722891566265
62,-0.02157556270096463,-0.020997149358374913,-0.02,0.0019541935246230645,-0.02,-0.03180722891566265
63,-0.02,-0.020981568899650305,-0.02,0.001942806152250552,-0.02,-0.03180722891566265
64,-0.02,-0.020966467839655684,-0.02,0.0019315851699422911,-0.02,-0.03180722891566265
65,-0.021596091205211727,-0.020976007587618656,-0.02,0.001918438449595097,-0.02,-0.03180722891566265
66,-0.02,-0.020961440310191513,-0.02,0.0019077421782070765,-0.02,-0.03180722891566265
67,-0.02,-0.020947301482100462,-0.02,0.0018971958737560096,-0.02,-0.03180722891566265
68,-0.02,-0.020933572475113498,-0.02,0.0018867974671472939,-0.02,-0.03180722891566265
69,-0.021666666666666664,-0.020944045249278544,-0.02,0.0018752907303138996,-0.02,-0.03180722891566265
70,-0.02,-0.020930748837316875,-0.02,0.0018653578052051625,-0.02,-0.03180722891566265
71,-0.02,-0.020917821770131913,-0.02,0.0018555584783280271,-0.02,-0.03180722891566265
72,-0.02134800550206327,-0.020923714697966587,-0.02,0.0018434836222774255,-0.02,-0.03180722891566265
73,-0.021491628614916283,-0.0209313892103578,-0.02,0.0018321590200953675,-0.02,-0.03180722891566265
74,-0.030888888888888886,-0.021064155872738213,-0.02,0.0021485916931603313,-0.02,-0.03180722891566265
75,-0.02,-0.02105015382178113,-0.02,0.0021378512243007035,-0.02,-0.03180722891566265
76,-0.02,-0.0210365154604593,-0.02,0.002127248994220341,-0.02,-0.03180722891566265
77,-0.02,-0.02102322680070982,-0.02,0.0021167830219013762,-0.02,-0.03180722891566265
78,-0.02,-0.021010274562726153,-0.02,0.0021064512968973167,-0.02,-0.03180722891566265
79,-0.02,-0.020997646130692077,-0.02,0.0020962517881276546,-0.02,-0.03180722891566265
80,-0.02,-0.020985329511794645,-0.02,0.00208618245154882,-0.02,-0.03180722891566265
81,-0.021531249999999995,-0.02099198707872398,-0.02,0.002074288386912085,-0.02,-0.03180722891566265
82,-0.02148484848484848,-0.020997925167954394,-0.02,0.002062455885767184,-0.02,-0.03180722891566265
83,-0.02,-0.020986045106431126,-0.02,0.0020529975602747693,-0.02,-0.03180722891566265
84,-0.02,-0.02097444457576723,-0.02,0.0020436529025970444,-0.02,-0.03180722891566265
85,-0.02,-0.020963113824886217,-0.02,0.0020344202701959536,-0.02,-0.03180722891566265
86,-0.02830508474576271,-0.021047504295241118,-0.02,0.002168816104033715,-0.02,-0.03180722891566265
87,-0.02,-0.02103560083734065,-0.02,0.0021593143977849468,-0.02,-0.03180722891566265
88,-0.02,-0.02102396487287615,-0.02,0.0021499219262179708,-0.02,-0.03180722891566265
89,-0.02,-0.021012587485399747,-0.02,0.002140637173371729,-0.02,-0.03180722891566265
