steps,time,reward,delta,converged
1,0.018489000000045053,-0.026853146853146867,1.0,False
2,0.004547000000002299,-0.055,1.0,False
3,0.0017419999999219726,-0.09,1.0,False
4,0.007701999999881082,-0.04085106382978724,1.0,False
5,0.013215000000400323,-0.030888888888888903,1.0,False
6,0.005482000000029075,-0.04333333333333334,1.0,False
7,0.0029949999998279964,-0.07157894736842106,1.0,False
8,0.0024610000000393484,-0.06083333333333334,1.0,False
9,0.0022799999997005216,-0.05920000000000001,1.0,False
10,0.007912000000033004,-0.03960000000000001,1.0,False
11,0.006466999999702239,-0.04227272727272728,1.0,False
12,0.013672000000042317,-0.03113636363636365,1.0,False
13,0.003331999999772961,-0.06666666666666668,1.0,False
14,0.004171000000042113,-0.06260869565217392,1.0,False
15,0.002330999999685446,-0.09,1.0,False
16,0.012126999999964028,-0.032250000000000015,1.0,False
17,0.004860000000007858,-0.055,1.0,False
18,0.005717000000004191,-0.04882352941176471,1.0,False
19,0.002829999999903521,-0.07764705882352942,1.0,False
20,0.0061260000002221204,-0.04333333333333334,1.0,False
21,0.004057000000102562,-0.06454545454545456,1.0,False
22,0.028668999999808875,-0.025474860335195543,1.0,False
23,0.002213000000210741,-0.10166666666666667,1.0,False
24,0.004734999999982392,-0.056296296296296296,1.0,False
25,0.004737000000204716,-0.056296296296296296,1.0,False
26,0.00391300000001138,-0.06083333333333334,1.0,False
27,0.004902000000129192,-0.05266666666666667,1.0,False
28,0.009919000000081724,-0.036896551724137944,1.0,False
29,0.015722999999979947,-0.02989898989898991,1.0,False
30,0.002934999999979482,-0.08125,1.0,False
31,0.004977000000053522,-0.05266666666666667,1.0,False
32,0.010856000000330823,-0.034626865671641804,1.0,False
33,0.006741000000147324,-0.04800000000000001,1.0,False
34,0.017018999999891093,-0.030000000000000013,1.0,False
35,0.0050630000000637665,-0.03921568627450981,1.0,False
36,0.004509000000325614,-0.04390243902439025,1.0,False
37,0.0054270000000542495,-0.036896551724137944,1.0,False
38,0.002498999999716034,-0.05379310344827586,1.0,False
39,0.005090000000109285,-0.03633333333333334,1.0,False
40,0.012164000000211672,-0.028099173553719024,1.0,False
41,0.008875999999872874,-0.03272727272727274,1.0,False
42,0.0031770000000506116,-0.050625,1.0,False
43,0.011695000000145228,-0.028909090909090922,1.0,False
44,0.0053299999999580905,-0.03921568627450981,1.0,False
45,0.0072649999997338455,-0.03324324324324326,1.0,False
46,0.004147000000102707,-0.04000000000000001,1.0,False
47,0.011282000000392145,-0.027368421052631594,1.0,False
48,0.01470999999992273,-0.026049382716049396,1.0,False
49,0.00228400000014517,-0.057692307692307696,1.0,False
50,0.003967000000102416,-0.04000000000000001,1.0,False
51,0.0006990000001678709,-0.21600000000000003,1.0,False
52,0.014208999999937078,-0.025833333333333347,1.0,False
53,0.0036300000001574517,-0.04333333333333334,1.0,False
54,0.0013049999997747364,-0.09538461538461539,1.0,False
55,0.006131999999979598,-0.034626865671641804,1.0,False
56,0.0019210000000384753,-0.06454545454545456,1.0,False
57,0.006429000000025553,-0.03719298245614036,1.0,False
58,0.002339000000119995,-0.056296296296296296,1.0,False
59,0.005760000000009313,-0.03484848484848486,1.0,False
60,0.019033000000035827,-0.024900000000000016,1.0,False
61,0.005543999999645166,-0.03507692307692309,1.0,False
62,0.009519000000182132,-0.028909090909090922,1.0,False
63,0.007664000000204396,-0.03555555555555557,1.0,False
64,0.004694000000199594,-0.04578947368421053,1.0,False
65,0.0081119999999828,-0.03960000000000001,1.0,False
66,0.01373299999977462,-0.02720588235294119,1.0,False
67,0.006867000000056578,-0.03272727272727274,1.0,False
68,0.007795000000442087,-0.030888888888888903,1.0,False
69,0.012243000000125903,-0.027424242424242438,1.0,False
70,0.00551999999970576,-0.03633333333333334,1.0,False
71,0.006982000000334665,-0.03531250000000001,1.0,False
72,0.0078089999997246196,-0.03580645161290324,1.0,False
73,0.012518999999883818,-0.028521739130434796,1.0,False
74,0.012536000000181957,-0.029800000000000014,1.0,False
75,0.0066660000002229935,-0.044500000000000005,1.0,False
76,0.006037999999989552,-0.04882352941176471,1.0,False
77,0.002431999999771506,-0.08125,1.0,False
78,0.002155000000129803,-0.05920000000000001,1.0,False
79,0.005894999999782158,-0.03750000000000001,1.0,False
80,0.005234000000200467,-0.04578947368421053,1.0,False
81,0.02400900000020556,-0.023684210526315697,1.0,False
82,0.011266999999861582,-0.03042553191489363,1.0,False
83,0.009149999999863212,-0.031951219512195136,1.0,False
84,0.0062580000003436,-0.03400000000000001,1.0,False
85,0.005519000000276719,-0.03484848484848486,1.0,False
86,0.0076469999999062566,-0.031011235955056192,1.0,False
87,0.006968000000142638,-0.032098765432098775,1.0,False
88,0.008554999999887514,-0.02989898989898991,1.0,False
89,0.005056999999851541,-0.036896551724137944,1.0,False
90,0.008107999999992899,-0.032564102564102575,1.0,False
91,0.008676999999806867,-0.030208333333333347,1.0,False
92,0.0018789999999171414,-0.069,1.0,False
93,0.007327999999688473,-0.031807228915662664,1.0,False
94,0.0035469999997985724,-0.042790697674418614,1.0,False
95,0.001623000000108732,-0.07157894736842106,1.0,False
96,0.024479000000155793,-0.02364312267657983,1.0,False
97,0.004867000000103872,-0.04333333333333334,1.0,False
98,0.009808000000248285,-0.03076923076923078,1.0,False
99,0.003674999999930151,-0.050625,1.0,False
100,0.012255999999979394,-0.027368421052631594,1.0,False
101,0.00890499999968597,-0.030537634408602164,1.0,False
