step,reward,mean,median,std,max,min
0,-0.022076271186440673,-0.022076271186440673,-0.022076271186440673,0.0,-0.022076271186440673,-0.022076271186440673
1,-0.021027253668763107,-0.02155176242760189,-0.02155176242760189,0.0005245087588387834,-0.021027253668763107,-0.022076271186440673
2,-0.02248730964467005,-0.02186361149995794,-0.022076271186440673,0.0006147405793701894,-0.021027253668763107,-0.02248730964467005
3,-0.02,-0.021397708624968457,-0.02155176242760189,0.0009667605451784337,-0.02,-0.02248730964467005
4,-0.02,-0.021118166899974766,-0.021027253668763107,0.001029696589010936,-0.02,-0.02248730964467005
5,-0.02,-0.02093180574997897,-0.020513626834381554,0.0010282095825540976,-0.02,-0.02248730964467005
6,-0.02,-0.020798690642839117,-0.02,0.0010062315984041164,-0.02,-0.02248730964467005
7,-0.02,-0.02069885431248423,-0.02,0.0009776043810942416,-0.02,-0.02248730964467005
8,-0.02,-0.020621203833319314,-0.02,0.0009475004300980659,-0.02,-0.02248730964467005
9,-0.02,-0.02055908344998738,-0.02,0.0009179933751178015,-0.02,-0.02248730964467005
10,-0.02,-0.02050825768180671,-0.02,0.0008899068810238117,-0.02,-0.02248730964467005
11,-0.02,-0.02046590287498948,-0.02,0.0008635235733617841,-0.02,-0.02248730964467005
12,-0.02,-0.020430064192297984,-0.02,0.0008388840428092419,-0.02,-0.02248730964467005
13,-0.021051502145922742,-0.020474452617556895,-0.02,0.0008240598176401444,-0.02,-0.02248730964467005
14,-0.02,-0.020442822443053104,-0.02,0.0008048661350355932,-0.02,-0.02248730964467005
15,-0.02,-0.020415146040362285,-0.02,0.0007866455052040615,-0.02,-0.02248730964467005
16,-0.02,-0.020390725685046858,-0.02,0.0007693842700397848,-0.02,-0.02248730964467005
17,-0.02,-0.020369018702544255,-0.02,0.0007530446246215647,-0.02,-0.02248730964467005
18,-0.02,-0.020349596665568244,-0.02,0.0007375770942052018,-0.02,-0.02248730964467005
19,-0.02,-0.02033211683228983,-0.02,0.0007229276023633072,-0.02,-0.02248730964467005
20,-0.02,-0.020316301745037936,-0.02,0.0007090414555274086,-0.02,-0.02248730964467005
21,-0.02,-0.020301924392990757,-0.02,0.0006958655405372192,-0.02,-0.02248730964467005
22,-0.02,-0.02028879724546942,-0.02,0.0006833494759413147,-0.02,-0.02248730964467005
23,-0.02,-0.02027676402690819,-0.02,0.0006714461486476194,-0.02,-0.02248730964467005
24,-0.02,-0.020265693465831864,-0.02,0.0006601118913134688,-0.02,-0.02248730964467005
25,-0.023828125,-0.02040271006329987,-0.02,0.0009425109449363933,-0.02,-0.023828125
