params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",44.792999999999665,100,-0.020058325298477925,-0.02,-0.023475177304964536,-0.016344086021505375,0.0008316233228956237
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",42.74130000000014,100,-0.020061376119435745,-0.02,-0.024117647058823532,-0.015984251968503938,0.001015435622574242
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",43.104537000000164,100,-0.02006610224981501,-0.02,-0.02310126582278481,-0.017565632458233886,0.0007989107684380677
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",38.66620699999976,100,-0.02026057854363444,-0.02,-0.027313432835820897,-0.014035087719298242,0.001954136116965344
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",30.199640000000272,100,-0.023166121760246065,-0.022450015312595703,-0.035555555555555556,-0.02,0.0029709497471441595
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",43.969258999999965,100,-0.0212663619760177,-0.02,-0.03661016949152543,-0.02,0.002542725316030371
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",58.30117799999971,100,-0.020381006946974117,-0.02,-0.030769230769230767,-0.02,0.0013335429463972716
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",65.01121699999976,100,-0.020106045442308602,-0.02,-0.023043478260869565,-0.01882217090069284,0.0004872904188430158
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",64.1898640000004,100,-0.020008553630676027,-0.02,-0.022202247191011232,-0.018097014925373134,0.00045560816340672146
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",69.33844599999975,100,-0.020023450339572837,-0.02,-0.02245614035087719,-0.018791469194312793,0.0002939816427798502
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",64.7853070000001,100,-0.020558455185822798,-0.02,-0.02401639344262295,-0.013855421686746987,0.0014674485609099004
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",65.87018099999977,100,-0.01996525152851606,-0.02,-0.023450704225352115,-0.011639344262295081,0.0015237660848082246
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",67.5023040000001,100,-0.02024346619779006,-0.02,-0.024949494949494947,-0.018282828282828283,0.0009454852630087178
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",61.51761600000009,100,-0.02017632577298699,-0.02,-0.02830508474576271,-0.015870445344129555,0.0012465920386532565
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",50.111557000000175,100,-0.02557946811141165,-0.02387375986251074,-0.04578947368421053,-0.016611295681063124,0.006152753702757668
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",66.08655399999998,100,-0.021723068532493787,-0.02104056954263454,-0.03420289855072464,-0.02,0.0025258176631456322
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",79.11654399999998,100,-0.02021497884871872,-0.02,-0.023602941176470587,-0.02,0.0006274459904336569
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",77.03359500000033,100,-0.020139561467231504,-0.02,-0.02336769759450172,-0.02,0.0004909373560392635
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",63.886333999999806,100,-0.020015679999999998,-0.02,-0.021568,-0.02,0.00015601403013831806
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",73.0498090000001,100,-0.02002324059087466,-0.02,-0.022493638676844778,-0.017377892030848326,0.0004017398891037993
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",73.31813800000009,100,-0.020488688498591735,-0.02,-0.023450704225352115,-0.018188277087033744,0.0009605845132188664
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",73.01928700000008,100,-0.019935237750189072,-0.02,-0.024474885844748856,-0.01629090909090909,0.001090480949244169
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",73.72800400000006,100,-0.019587519557994804,-0.02,-0.024336283185840708,-0.015426008968609864,0.0017377219595910481
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",65.66670599999998,100,-0.020091911286671787,-0.02,-0.023656716417910447,-0.016395759717314485,0.0013249375633423118
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",46.62546400000019,100,-0.02272894006990165,-0.022506984199679413,-0.03507692307692308,-0.015277777777777776,0.004007628807531281
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",69.21077400000013,100,-0.021269563730895006,-0.02,-0.033243243243243244,-0.02,0.0018624366788461911
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",77.96261300000015,100,-0.020161440818911257,-0.02,-0.0227683615819209,-0.02,0.000540742531562098
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",73.4064669999998,100,-0.020716031183525233,-0.02,-0.025240641711229944,-0.017723214285714283,0.0011712758014973425
