steps,time,reward,delta,converged
1,0.0015009999997346313,-0.14250000000000002,1.0002507020083453,False
2,0.00206499999967491,-0.06260869565217392,1.0002507020083453,False
3,0.01128800000060437,-0.02705035971223023,1.0002507020083453,False
4,0.0005790000004708418,-0.18333333333333335,1.0006873704966956,False
5,0.000713000000359898,-0.1288888888888889,1.0006873704966956,False
6,0.003830000000561995,-0.05266666666666667,1.0006873704966956,False
7,0.0014029999992999365,-0.08125,1.0006873704966956,False
8,0.0026340000003983732,-0.056296296296296296,1.0006873704966956,False
9,0.008162000000083935,-0.031529411764705896,1.0006873704966956,False
10,0.005521000000044296,-0.03555555555555557,1.0006873704966956,False
11,0.0009529999997539562,-0.10166666666666667,1.0006873704966956,False
12,0.000744999999369611,-0.16,1.0006873704966956,False
13,0.002320999999938067,-0.05379310344827586,1.0006873704966956,False
14,0.00369700000010198,-0.044500000000000005,1.0006873704966956,False
15,0.0017969999998967978,-0.06454545454545456,1.0006873704966956,False
16,0.0007169999998950516,-0.14250000000000002,1.0006873704966956,False
17,0.003824999999778811,-0.04130434782608696,1.0006873704966956,False
18,0.002712999999857857,-0.056296296296296296,1.0006873704966956,False
19,0.000992999999652966,-0.10166666666666667,1.0006873704966956,False
20,0.005126000000018394,-0.03531250000000001,1.0006969177914236,False
21,0.001209999999446154,-0.08533333333333333,1.0006969177914236,False
22,0.007881999999881373,-0.03606557377049181,1.0006969177914236,False
23,0.005189999999856809,-0.04177777777777779,1.0006981424084458,False
24,0.005713000000469037,-0.03719298245614036,1.0006981424084458,False
25,0.0024590000002717716,-0.057692307692307696,1.0006981424084458,False
26,0.005055999999967753,-0.04000000000000001,1.0006981424084458,False
27,0.001172999999653257,-0.118,1.0006981424084458,False
28,0.004574999999931606,-0.03921568627450981,1.0006981424084458,False
29,0.0014700000001539593,-0.07764705882352942,1.000728739325309,False
30,0.004108000000087486,-0.03781818181818183,1.000728739325309,False
31,0.0012689999994108803,-0.08533333333333333,1.000728739325309,False
32,0.001981000000341737,-0.056296296296296296,1.000728739325309,False
33,0.005357000000003609,-0.03400000000000001,1.000728739325309,False
34,0.0018600000003061723,-0.05920000000000001,1.000728739325309,False
35,0.0034239999995406833,-0.0496969696969697,1.000728739325309,False
