episode,length,time,reward,delta
0,191.0,0.014337000000068656,-4.820000000000003,-1.0
1,112.0,0.008567999999741005,-3.2400000000000015,-1.0
2,32.0,0.002484999999978754,-1.6400000000000001,-1.0
3,57.0,0.0072220000001834705,-2.1400000000000006,-1.0
4,94.0,0.007495999999719061,-2.8800000000000012,-1.0
5,40.0,0.0030839999999443535,-1.8000000000000003,-1.0
6,143.0,0.011026000000128988,-3.860000000000002,-1.0
7,32.0,0.002478999999766529,-1.6400000000000001,-1.0
8,82.0,0.007720999999946798,-2.640000000000001,-0.998
9,79.0,0.006977000000006228,-2.580000000000001,-1.0
10,247.0,0.018422999999984313,-5.939999999999983,-1.0
11,144.0,0.010921000000053027,-3.880000000000002,-1.0
12,131.0,0.013135000000147556,-3.620000000000002,-1.0
13,68.0,0.005157999999937601,-2.3600000000000008,-1.0
14,28.0,0.002203999999892403,-1.56,-1.0
15,64.0,0.005222000000230764,-2.2800000000000007,-0.996144
16,41.0,0.003290999999990163,-1.8200000000000003,-1.0
17,88.0,0.009902000000238331,-2.760000000000001,-0.9944622415984197
18,93.0,0.007384999999885622,-2.860000000000001,-0.998
19,102.0,0.008147999999891908,-3.0400000000000014,-0.998
20,98.0,0.007822999999916647,-2.9600000000000013,-0.9866528992246809
21,102.0,0.00757900000007794,-3.0400000000000014,-0.994542
22,128.0,0.01040000000011787,-3.560000000000002,-0.994508710559798
23,226.0,0.017215999999734777,-5.519999999999992,-0.998
24,170.0,0.0130460000000312,-4.400000000000002,-1.0
25,96.0,0.00742000000036569,-2.9200000000000013,-1.0
26,58.0,0.004727999999886379,-2.1600000000000006,-1.0
27,252.0,0.019314000000122178,-6.0399999999999805,-0.9
28,216.0,0.016489000000092346,-5.319999999999996,-1.0
29,223.0,0.017026999999870895,-5.459999999999993,-1.0
30,127.0,0.010119999999915308,-3.540000000000002,-0.8965296
31,60.0,0.004544999999779975,-2.2000000000000006,-1.0
32,163.0,0.012803000000076281,-4.2600000000000025,-0.9
33,224.0,0.017061000000012427,-5.479999999999992,-0.996080513971073
34,162.0,0.01242900000033842,-4.240000000000002,-0.9079042290373698
35,357.0,0.027267999999821768,-8.139999999999937,-0.9
36,117.0,0.009011000000100466,-3.3400000000000016,-1.0
37,160.0,0.012050999999701162,-4.200000000000003,-0.9078838240319428
38,271.0,0.020183000000088214,-6.419999999999972,-1.0
39,100.0,0.007760999999845808,-3.0000000000000013,-0.9945438
40,108.0,0.008225999999922351,-3.1600000000000015,-0.998
41,149.0,0.011524000000008527,-3.980000000000002,-0.994542
42,68.0,0.0054919999997764535,-2.3600000000000008,-0.99798
43,107.0,0.008082999999714957,-3.1400000000000015,-0.8964724625739656
44,246.0,0.018238000000110333,-5.919999999999983,-1.0
45,223.0,0.016931000000113272,-5.459999999999993,-1.0
46,90.0,0.006920000000263826,-2.800000000000001,-0.8171138061336328
47,53.0,0.004498000000239699,-2.0600000000000005,-0.9929743837198
48,355.0,0.026970999999775813,-8.099999999999937,-0.9904123957271049
49,427.0,0.03141400000004069,-9.539999999999907,-1.0
50,62.0,0.004758999999921798,-2.2400000000000007,-0.998
51,55.0,0.004333999999744265,-2.1000000000000005,-0.8950578395038182
52,69.0,0.005364999999983411,-2.380000000000001,-0.847882648388119
53,188.0,0.014192999999977474,-4.760000000000003,-0.998
54,17.0,0.0013990000002195302,-1.34,-0.9
55,141.0,0.011124999999992724,-3.820000000000002,-1.0
56,106.0,0.008632999999917956,-3.1200000000000014,-0.9107949795565095
57,175.0,0.021647999999913736,-4.500000000000003,-0.8559349519585937
58,126.0,0.015877999999702297,-3.520000000000002,-1.0
59,184.0,0.025000999999974738,-4.680000000000003,-1.0
60,221.0,0.029589000000214583,-5.419999999999994,-1.0
61,37.0,0.005135999999765772,-1.7400000000000002,-0.8950878
62,47.0,0.006619999999657011,-1.9400000000000004,-0.853376699427159
63,93.0,0.011594999999942956,-2.860000000000001,-0.9882479580992383
64,352.0,0.05011700000022756,-8.039999999999939,-0.9930055502
65,102.0,0.01432199999999284,-3.0400000000000014,-0.7912223383928062
66,149.0,0.018473999999969237,-3.980000000000002,-1.0
67,134.0,0.0162319999999454,-3.680000000000002,-0.99796162
68,137.0,0.017520000000331493,-3.740000000000002,-0.998
69,337.0,0.03510299999970812,-7.739999999999944,-0.768039029484443
70,335.0,0.03659400000015012,-7.699999999999945,-0.998
71,71.0,0.007653000000118482,-2.420000000000001,-0.9
72,456.0,0.0516419999999016,-10.119999999999894,-0.99618
73,154.0,0.012044000000059896,-4.080000000000002,-1.0
74,413.0,0.031793000000106986,-9.259999999999913,-0.9961456
75,170.0,0.013505999999779306,-4.400000000000002,-0.998
76,138.0,0.010537999999996828,-3.760000000000002,-0.9892353415187272
77,156.0,0.01155800000015006,-4.120000000000003,-0.9914677408081896
78,141.0,0.011541000000306667,-3.820000000000002,-0.9961617962
79,18.0,0.001544000000194501,-1.36,-0.9869671583867833
80,227.0,0.017497999999704916,-5.539999999999991,-0.7630943835493071
81,226.0,0.01756999999997788,-5.519999999999992,-1.0
82,202.0,0.01570399999991423,-5.040000000000002,-0.99798
83,301.0,0.022797999999966123,-7.01999999999996,-1.0
84,27.0,0.002195000000028813,-1.54,-0.8950878
85,87.0,0.0065770000001066364,-2.740000000000001,-0.99616162
86,349.0,0.027846999999837863,-7.979999999999939,-1.0
87,276.0,0.02073999999993248,-6.51999999999997,-0.992835753832532
88,148.0,0.01781200000004901,-3.960000000000002,-0.9961106471697466
