steps,time,reward,delta,converged
1,0.009363000001030741,-0.03633333333333334,1.0,False
2,0.00596399999994901,-0.04648648648648649,1.0,False
3,0.024067000000286498,-0.026125000000000016,1.0,False
4,0.012204999999084976,-0.031264367816091966,1.0,False
5,0.003276999999798136,-0.05379310344827586,1.0,False
6,0.019293999999717926,-0.02771653543307088,1.0,False
7,0.008770000000367872,-0.032894736842105275,1.0,False
8,0.0049139999991894,-0.04041666666666668,1.0,False
9,0.0029789999989588978,-0.055,1.0,False
10,0.0034839999989344506,-0.0496969696969697,1.0,False
11,0.01140299999860872,-0.030315789473684223,1.0,False
12,0.010188999998717918,-0.03781818181818183,1.0,False
13,0.006550000000061118,-0.044500000000000005,1.0,False
14,0.018502999999327585,-0.029333333333333347,1.0,False
15,0.012708000000202446,-0.028099173553719024,1.0,False
16,0.001443999999537482,-0.09538461538461539,1.0,False
17,0.011193000000275788,-0.03580645161290324,1.0,False
18,0.002704000000449014,-0.057692307692307696,1.0,False
19,0.00876800000150979,-0.031807228915662664,1.0,False
20,0.01474200000120618,-0.027368421052631594,1.0,False
21,0.015288000000509783,-0.030315789473684223,1.0,False
22,0.004711000001407228,-0.042790697674418614,1.0,False
23,0.004637000000002445,-0.042790697674418614,1.0,False
24,0.005812999999761814,-0.03781818181818183,1.0,False
25,0.008766000000832719,-0.03781818181818183,1.0,False
26,0.0022200000003067544,-0.06666666666666668,1.0,False
27,0.012526999998954125,-0.030537634408602164,1.0,False
28,0.021767000000181724,-0.026577181208053705,1.0,False
29,0.013009000000238302,-0.027656250000000014,1.0,False
30,0.007820000000720029,-0.04041666666666668,1.0,False
31,0.0134040000011737,-0.032894736842105275,1.0,False
32,0.008804999999483698,-0.04130434782608696,1.0,False
33,0.01720700000078068,-0.029423076923076937,1.0,False
34,0.012405999999828055,-0.03361111111111112,1.0,False
35,0.010727000000770204,-0.030000000000000013,1.0,False
36,0.010248000000501634,-0.034411764705882364,1.0,False
37,0.008612999999968451,-0.03507692307692309,1.0,False
38,0.0024549999998271232,-0.06260869565217392,1.0,False
39,0.005735000000640866,-0.04177777777777779,1.0,False
40,0.02188899999964633,-0.024622641509433954,1.0,False
41,0.005868000000191387,-0.044500000000000005,1.0,False
42,0.0028340000008029165,-0.056296296296296296,1.0,False
43,0.019578999999794178,-0.02859649122807019,1.0,False
44,0.024957999999969616,-0.025730994152046795,1.0,False
45,0.02498099999866099,-0.026282051282051296,1.0,False
46,0.00605600000017148,-0.04085106382978724,1.0,False
47,0.013821999998981482,-0.030888888888888903,1.0,False
48,0.01662899999973888,-0.03065217391304349,1.0,False
