episode,length,time,reward,delta
0,131.0,0.00910499999986314,-3.620000000000002,-1.000310923891199
1,298.0,0.03135599999995975,-6.959999999999961,-1.0002334640755233
2,94.0,0.00775500000008833,-2.8800000000000012,-1.0003978242085998
3,88.0,0.006053000000065367,-2.760000000000001,-1.0004295662575513
4,95.0,0.007216999999855034,-2.9000000000000012,-1.0000723516000554
5,35.0,0.002621999999973923,-1.7000000000000002,-1.0002735602185164
6,66.0,0.00472000000013395,-2.3200000000000007,-0.9999129086488813
7,59.0,0.004175000000032014,-2.1800000000000006,-0.9998326875898235
8,86.0,0.006227999999964595,-2.720000000000001,-1.0001781002117196
9,95.0,0.00638400000002548,-2.9000000000000012,-0.998158753552428
10,132.0,0.009468999999853622,-3.640000000000002,-1.0001156320014104
11,41.0,0.0031639999999697466,-1.8200000000000003,-0.9980510179717295
12,114.0,0.008587999999917884,-3.2800000000000016,-1.0002632951762693
13,213.0,0.014992000000120242,-5.259999999999997,-0.9977317358446882
14,53.0,0.003752000000076805,-2.0600000000000005,-0.8979585622602194
15,11.0,0.0010760000000118453,-1.22,-0.9952769065033793
16,249.0,0.016916000000037457,-5.979999999999982,-0.999797579208581
17,27.0,0.0019170000000485743,-1.54,-0.9002462041966647
18,38.0,0.0026609999999891443,-1.7600000000000002,-0.9998328335074339
19,40.0,0.0030169999999998254,-1.8000000000000003,-0.9995283979953411
20,73.0,0.004970999999841297,-2.460000000000001,-0.9939300669687507
21,60.0,0.004085999999915657,-2.2000000000000006,-0.999533934886707
22,32.0,0.0023139999998420535,-1.6400000000000001,-0.9981950305063159
23,94.0,0.006499999999959982,-2.8800000000000012,-0.9999977552634378
24,84.0,0.005663999999796943,-2.680000000000001,-1.000487040679944
25,28.0,0.00215699999989738,-1.56,-0.9980025625854047
26,64.0,0.006902999999965687,-2.2800000000000007,-0.999637795218224
27,179.0,0.012402000000065527,-4.580000000000003,-1.0002317465892476
28,133.0,0.00969600000007631,-3.660000000000002,-1.0001508991060555
29,12.0,0.0010410000002138986,-1.24,-1.0001362838062076
30,115.0,0.007837999999992462,-3.3000000000000016,-0.9956946768349229
31,32.0,0.0022819999999228457,-1.6400000000000001,-0.9973001897359262
32,173.0,0.011631999999963227,-4.460000000000003,-0.9998293934230648
33,33.0,0.002343000000109896,-1.6600000000000001,-1.0004117124743968
34,91.0,0.006618000000116808,-2.820000000000001,-0.9070385981294944
