episode,length,time,reward,delta
0,500.0,0.10163199999988137,-3075.0,-0.008665371999999838
1,437.0,0.08053599999993821,-2119.0,100.0
2,180.0,0.03381600000011531,-575.0,10.0
3,22.0,0.004617999999936728,78.0,1.0
4,87.0,0.01688800000010815,-185.0,0.09999999999999432
5,204.0,0.03936900000007881,-896.0,0.010000000000005116
6,84.0,0.015602999999828171,-380.0,0.0010000000000047748
7,22.0,0.004156999999850086,-21.0,0.00010000000000331966
8,47.0,0.00925199999983306,-244.0,1.0000000003174137e-05
9,28.0,0.006754999999884603,-126.0,9.999999974752427e-07
10,17.0,0.003830999999991036,83.0,9.999999406318238e-08
11,39.0,0.00823099999979604,-38.0,9.999993721976352e-09
12,26.0,0.005850000000009459,74.0,1.0000036354540498e-09
13,37.0,0.0076020000001335575,-36.0,1.000017846308765e-10
14,16.0,0.003369999999904394,84.0,1.000444171950221e-11
15,48.0,0.011537999999745807,-146.0,9.947598300641403e-13
16,16.0,0.004226000000016938,84.0,9.947598300641403e-14
17,16.0,0.0034270000001015433,84.0,1.4210854715202004e-14
18,26.0,0.005922000000282424,74.0,0.0
19,20.0,0.003741999999874679,80.0,0.0
20,26.0,0.006334000000151718,-124.0,0.0
21,23.0,0.004245000000082655,77.0,0.0
22,18.0,0.005106999999952677,82.0,0.0
23,16.0,0.0030879999999342544,84.0,0.0
24,18.0,0.0033370000001013977,82.0,0.0
25,20.0,0.0035129999996570405,80.0,0.0
26,15.0,0.0033520000001772132,85.0,0.0
27,17.0,0.004369999999653373,83.0,0.0
28,37.0,0.006715999999869382,-36.0,0.0
29,35.0,0.0066660000002229935,-34.0,0.0
30,14.0,0.00246000000015556,86.0,0.0
31,14.0,0.002573999999640364,86.0,0.0
32,19.0,0.0038399999998546264,81.0,0.0
33,20.0,0.004970999999841297,-19.0,0.0
34,30.0,0.00572699999975157,-29.0,0.0
35,25.0,0.004573000000164029,75.0,0.0
36,21.0,0.0047660000000178115,79.0,0.0
37,15.0,0.00342899999986912,-14.0,0.0
38,16.0,0.00384699999995064,84.0,0.0
39,16.0,0.003643000000010943,84.0,0.0
40,16.0,0.00400900000022375,84.0,0.0
41,37.0,0.008029999999962456,-36.0,0.0
42,18.0,0.004994999999780703,-17.0,0.0
43,29.0,0.004292000000077678,-28.0,0.0
44,32.0,0.005777000000307453,-31.0,0.0
45,16.0,0.0032580000001871667,84.0,0.0
46,46.0,0.00904599999967104,-45.0,0.0
47,16.0,0.003474999999980355,84.0,0.0
48,57.0,0.009143000000221946,-155.0,0.0
49,39.0,0.004399999999805004,-38.0,0.0
50,15.0,0.0017969999998967978,85.0,0.0
51,18.0,0.0022309999999379215,82.0,0.0
52,19.0,0.002280000000155269,81.0,0.0
53,31.0,0.005974000000151136,-30.0,0.0
54,20.0,0.0022939999998925487,80.0,0.0
55,19.0,0.004097000000001572,81.0,0.0
56,14.0,0.0026920000000245636,86.0,0.0
57,36.0,0.006053000000065367,-35.0,0.0
58,16.0,0.003620999999839114,84.0,0.0
59,15.0,0.002377000000251428,85.0,0.0
60,17.0,0.0025120000000242726,83.0,0.0
61,16.0,0.002502000000276894,84.0,0.0
62,17.0,0.0035100000000056752,83.0,0.0
63,16.0,0.003748000000086904,84.0,0.0
64,20.0,0.004331999999976688,80.0,0.0
65,18.0,0.0029529999997066625,82.0,0.0
66,21.0,0.004081000000041968,79.0,0.0
67,14.0,0.00292699999999968,86.0,0.0
68,17.0,0.0025120000000242726,83.0,0.0
69,16.0,0.002973999999994703,84.0,0.0
70,18.0,0.0027399999999033753,82.0,0.0
71,15.0,0.003770999999687774,85.0,0.0
72,14.0,0.0027789999999185966,86.0,0.0
73,16.0,0.002666000000317581,84.0,0.0
74,27.0,0.004448000000138563,73.0,0.0
75,18.0,0.003808999999819207,82.0,0.0
76,16.0,0.0029650000001311128,84.0,0.0
77,44.0,0.0063070000001062,-142.0,0.0
78,41.0,0.006131999999979598,-139.0,0.0
79,17.0,0.004143999999996595,83.0,0.0
80,73.0,0.009246000000075583,-72.0,0.0
81,50.0,0.006272999999964668,-148.0,0.0
82,25.0,0.00423899999987043,75.0,0.0
83,18.0,0.004621999999926629,82.0,0.0
84,44.0,0.004582999999911408,-43.0,0.0
85,89.0,0.01442799999995259,-385.0,0.0
86,37.0,0.00747799999999188,-36.0,0.0
87,16.0,0.00359600000001592,84.0,0.0
88,14.0,0.0030050000000301225,86.0,0.0
89,39.0,0.006076000000120985,-38.0,0.0
90,51.0,0.009861000000000786,-149.0,0.0
91,21.0,0.0037550000001829176,79.0,0.0
92,18.0,0.003685000000132277,82.0,0.0
93,18.0,0.0027729999997063715,82.0,0.0
94,36.0,0.00671699999975317,-35.0,0.0
95,28.0,0.0053079999997862615,-225.0,0.0
96,78.0,0.013875000000098225,-176.0,0.0
97,29.0,0.006199999999807915,-28.0,0.0
98,58.0,0.01308999999992011,-57.0,0.0
99,49.0,0.008733000000120228,-48.0,0.0
100,59.0,0.011315000000195141,-157.0,0.0
101,14.0,0.003359999999702268,86.0,0.0
102,16.0,0.004112000000077387,84.0,0.0
103,17.0,0.003176000000166823,83.0,0.0
104,40.0,0.007537999999840395,-39.0,0.0
105,14.0,0.0029249999997773557,86.0,0.0
106,67.0,0.012991999999940163,-264.0,0.0
107,19.0,0.004572999999709282,81.0,0.0
108,16.0,0.003624999999829015,84.0,0.0
109,17.0,0.0036119999999755237,83.0,0.0
110,28.0,0.004781000000093627,72.0,0.0
111,53.0,0.009547000000111439,-151.0,0.0
112,22.0,0.0040869999997994455,78.0,0.0
113,19.0,0.004120000000057189,81.0,0.0
114,16.0,0.0030050000000301225,84.0,0.0
115,14.0,0.0032679999999345455,86.0,0.0
116,18.0,0.0031799999997019768,82.0,0.0
117,18.0,0.003343999999742664,82.0,0.0
118,22.0,0.004953000000114116,-21.0,0.0
119,19.0,0.004456000000118365,81.0,0.0
120,21.0,0.004949000000124215,79.0,0.0
121,16.0,0.0035080000002380984,84.0,0.0
122,17.0,0.003871999999773834,83.0,0.0
123,15.0,0.0033730000000105065,85.0,0.0
124,18.0,0.003271000000040658,82.0,0.0
125,19.0,0.003658999999970547,81.0,0.0
126,20.0,0.004002000000127737,80.0,0.0
127,17.0,0.0042140000000472355,83.0,0.0
128,14.0,0.003224999999929423,86.0,0.0
129,15.0,0.0034989999999197607,85.0,0.0
130,33.0,0.006311000000096101,-32.0,0.0
131,19.0,0.0047920000001795415,81.0,0.0
132,46.0,0.008759999999710999,-144.0,0.0
133,21.0,0.004728999999770167,79.0,0.0
134,15.0,0.00323000000025786,85.0,0.0
135,30.0,0.005411999999978434,-29.0,0.0
136,14.0,0.003509000000121887,86.0,0.0
137,27.0,0.004881000000295899,73.0,0.0
138,19.0,0.0036960000002181914,81.0,0.0
139,17.0,0.0016510000000380387,-16.0,0.0
140,14.0,0.0025399999999535794,86.0,0.0
141,18.0,0.0032660000001669687,82.0,0.0
142,14.0,0.00250899999991816,86.0,0.0
143,26.0,0.006101000000398926,-25.0,0.0
144,31.0,0.005407000000104745,-30.0,0.0
145,18.0,0.0025359999999636784,82.0,0.0
146,17.0,0.003357999999934691,-16.0,0.0
147,16.0,0.003398999999717489,84.0,0.0
148,38.0,0.007522000000335538,-37.0,0.0
149,44.0,0.00816800000029616,-43.0,0.0
150,16.0,0.0030719999999746506,84.0,0.0
151,14.0,0.0032479999999850406,86.0,0.0
152,16.0,0.0035160000002179004,84.0,0.0
153,30.0,0.00675699999965218,-29.0,0.0
154,16.0,0.0034559999999146385,84.0,0.0
155,16.0,0.0030679999999847496,84.0,0.0
156,62.0,0.013924000000315573,-358.0,0.0
157,34.0,0.006409999999959837,-132.0,0.0
158,17.0,0.004077999999935855,83.0,0.0
159,33.0,0.0065730000001167355,-32.0,0.0
160,17.0,0.0037819999997736886,83.0,0.0
161,27.0,0.006243999999696825,-26.0,0.0
162,14.0,0.0026630000002114684,86.0,0.0
163,31.0,0.006160999999792693,-30.0,0.0
164,16.0,0.0035060000000157743,84.0,0.0
165,33.0,0.007218999999622611,-131.0,0.0
166,17.0,0.004407000000355765,83.0,0.0
167,14.0,0.0028680000000349537,86.0,0.0
168,20.0,0.005684000000201195,80.0,0.0
169,31.0,0.007336000000123022,-30.0,0.0
170,31.0,0.007656000000224594,-30.0,0.0
171,14.0,0.0025960000002669403,86.0,0.0
172,20.0,0.004753999999593361,80.0,0.0
173,15.0,0.004629999999906431,85.0,0.0
174,34.0,0.00815199999988181,-33.0,0.0
175,16.0,0.0032960000003185996,84.0,0.0
176,40.0,0.008205999999972846,-39.0,0.0
177,14.0,0.0025599999999030842,86.0,0.0
178,14.0,0.0028339999998934218,86.0,0.0
179,14.0,0.0032479999999850406,86.0,0.0
180,36.0,0.008376000000225758,-35.0,0.0
181,14.0,0.002807999999731692,86.0,0.0
182,40.0,0.008078000000296015,-138.0,0.0
183,36.0,0.0072560000003250025,-35.0,0.0
184,18.0,0.004128999999920779,82.0,0.0
185,38.0,0.007826999999906548,-37.0,0.0
186,44.0,0.007924999999886495,-43.0,0.0
187,23.0,0.004896000000371714,77.0,0.0
188,14.0,0.0030010000000402215,86.0,0.0
189,38.0,0.00901499999963562,-136.0,0.0
190,16.0,0.0032540000001972658,84.0,0.0
191,20.0,0.004215999999814812,-19.0,0.0
192,29.0,0.006167999999888707,-28.0,0.0
193,16.0,0.002912999999807653,84.0,0.0
194,17.0,0.0034719999998742423,83.0,0.0
195,14.0,0.003727999999682652,86.0,0.0
196,34.0,0.0070949999999356805,-33.0,0.0
197,19.0,0.0049809999995886756,81.0,0.0
198,16.0,0.003568000000086613,84.0,0.0
199,14.0,0.0034399999999550346,86.0,0.0
200,15.0,0.0037000000002080924,85.0,0.0
201,18.0,0.0038700000000062573,82.0,0.0
202,33.0,0.005650999999943451,-32.0,0.0
203,18.0,0.0037229999998089625,82.0,0.0
204,16.0,0.004327999999986787,84.0,0.0
205,16.0,0.0033040000002984016,84.0,0.0
206,28.0,0.005000999999992928,-27.0,0.0
207,17.0,0.002395999999862397,83.0,0.0
208,16.0,0.003426000000217755,84.0,0.0
209,15.0,0.0029019999997217383,85.0,0.0
210,16.0,0.004486000000269996,84.0,0.0
211,45.0,0.00896599999987302,-143.0,0.0
212,22.0,0.004163000000062311,78.0,0.0
213,17.0,0.00335399999994479,83.0,0.0
214,52.0,0.00975700000026336,-150.0,0.0
215,49.0,0.009671999999682157,-48.0,0.0
216,14.0,0.003356000000167114,86.0,0.0
217,17.0,0.0030999999999039574,83.0,0.0
218,38.0,0.008353000000170141,-37.0,0.0
219,39.0,0.008845000000292202,-38.0,0.0
220,30.0,0.006250999999792839,-29.0,0.0
221,14.0,0.0026569999999992433,86.0,0.0
222,15.0,0.004386000000067725,85.0,0.0
223,16.0,0.0033890000004248577,84.0,0.0
224,18.0,0.004157999999733875,82.0,0.0
225,17.0,0.004758999999921798,83.0,0.0
226,14.0,0.0025189999996655388,86.0,0.0
227,17.0,0.00358200000027864,83.0,0.0
228,14.0,0.00307699999984834,86.0,0.0
229,20.0,0.004714000000149099,80.0,0.0
230,119.0,0.021264999999857537,-514.0,0.0
231,16.0,0.0033770000000004075,84.0,0.0
232,15.0,0.0028750000001309672,85.0,0.0
233,16.0,0.0031009999997877458,84.0,0.0
234,27.0,0.005742999999711174,73.0,0.0
235,19.0,0.004438999999820226,-18.0,0.0
236,15.0,0.0034660000001167646,85.0,0.0
237,35.0,0.007564999999885913,-34.0,0.0
238,33.0,0.006528000000344036,-32.0,0.0
239,17.0,0.0035449999995762482,83.0,0.0
240,18.0,0.0034780000000864675,82.0,0.0
241,14.0,0.0025380000001860026,86.0,0.0
242,34.0,0.006934000000001106,-33.0,0.0
243,48.0,0.009924999999839201,-47.0,0.0
244,21.0,0.0039000000001578883,79.0,0.0
245,18.0,0.003829000000223459,82.0,0.0
246,17.0,0.0032639999999446445,83.0,0.0
247,16.0,0.0027629999999589927,84.0,0.0
248,14.0,0.0032270000001517474,86.0,0.0
249,16.0,0.0036319999999250285,84.0,0.0
250,62.0,0.013196999999763648,-61.0,0.0
251,16.0,0.003339999999752763,84.0,0.0
252,14.0,0.0036929999996573315,86.0,0.0
253,19.0,0.004116000000067288,81.0,0.0
254,21.0,0.004443000000264874,79.0,0.0
255,22.0,0.005042000000230473,78.0,0.0
256,32.0,0.004873999999745138,-31.0,0.0
257,14.0,0.0028150000002824527,86.0,0.0
258,16.0,0.0034920000002784946,84.0,0.0
259,14.0,0.0028110000002925517,86.0,0.0
260,15.0,0.002589000000170927,85.0,0.0
261,17.0,0.003297000000202388,83.0,0.0
262,16.0,0.0035029999999096617,84.0,0.0
263,15.0,0.002523000000110187,85.0,0.0
264,15.0,0.003118999999969674,85.0,0.0
265,15.0,0.0035870000001523294,85.0,0.0
266,17.0,0.002774000000044907,-16.0,0.0
267,14.0,0.0027580000000853033,86.0,0.0
268,50.0,0.009965000000192958,-148.0,0.0
269,14.0,0.0024310000003424648,86.0,0.0
270,14.0,0.00275999999985288,86.0,0.0
271,14.0,0.0026510000002417655,86.0,0.0
272,15.0,0.0032759999999143474,85.0,0.0
273,16.0,0.0027800000002571323,84.0,0.0
274,30.0,0.005110999999942578,-29.0,0.0
275,41.0,0.008565999999973428,-139.0,0.0
276,29.0,0.0032679999999345455,-226.0,0.0
277,15.0,0.002528999999867665,85.0,0.0
278,16.0,0.0028109999998378044,84.0,0.0
279,14.0,0.0036420000001271546,86.0,0.0
280,40.0,0.007179000000178348,-39.0,0.0
281,14.0,0.002594000000044616,86.0,0.0
282,16.0,0.003515000000334112,84.0,0.0
283,16.0,0.002807999999731692,84.0,0.0
284,14.0,0.003068999999868538,86.0,0.0
285,16.0,0.003169999999954598,84.0,0.0
286,17.0,0.0031129999997574487,83.0,0.0
287,16.0,0.003030000000308064,84.0,0.0
288,72.0,0.013484000000062224,-269.0,0.0
289,29.0,0.0053440000001501176,-28.0,0.0
290,16.0,0.0020049999998263957,84.0,0.0
291,16.0,0.002816000000166241,-15.0,0.0
292,14.0,0.002846000000317872,86.0,0.0
293,15.0,0.003382000000328844,85.0,0.0
294,19.0,0.004536999999800173,81.0,0.0
295,18.0,0.0034380000001874578,82.0,0.0
296,34.0,0.006865999999718042,-33.0,0.0
297,14.0,0.0024880000000848668,86.0,0.0
298,18.0,0.0037370000000009895,82.0,0.0
299,14.0,0.002696999999898253,86.0,0.0
300,18.0,0.00505799999973533,82.0,0.0
301,17.0,0.003674999999930151,83.0,0.0
302,15.0,0.0037549999997281702,85.0,0.0
303,38.0,0.009134999999787397,-136.0,0.0
304,19.0,0.003648999999768421,81.0,0.0
305,34.0,0.007449000000178785,-33.0,0.0
306,14.0,0.0035290000000713917,86.0,0.0
307,29.0,0.004968999999618973,-28.0,0.0
308,14.0,0.0022969999999986612,86.0,0.0
309,15.0,0.004496000000017375,85.0,0.0
310,20.0,0.0037029999998594576,80.0,0.0
311,16.0,0.002800000000206637,84.0,0.0
312,15.0,0.0027449999997770647,85.0,0.0
313,19.0,0.004284999999981665,-18.0,0.0
314,19.0,0.003830999999991036,81.0,0.0
315,14.0,0.0029080000003887108,86.0,0.0
316,16.0,0.0032620000001770677,84.0,0.0
317,19.0,0.0038889999996172264,81.0,0.0
318,16.0,0.0031879999996817787,84.0,0.0
319,14.0,0.003602000000228145,86.0,0.0
320,45.0,0.009351000000151544,-44.0,0.0
321,16.0,0.003386999999747786,84.0,0.0
322,15.0,0.002981999999974505,-14.0,0.0
323,16.0,0.004093999999895459,84.0,0.0
324,14.0,0.003083000000060565,86.0,0.0
325,14.0,0.00268499999992855,86.0,0.0
326,14.0,0.0029220000001259905,86.0,0.0
327,87.0,0.017168000000310712,-383.0,0.0
328,19.0,0.004194999999981519,81.0,0.0
329,15.0,0.002715000000080181,85.0,0.0
330,14.0,0.0024589999998170242,86.0,0.0
331,38.0,0.007826999999906548,-37.0,0.0
332,15.0,0.004292000000077678,85.0,0.0
333,14.0,0.003885999999965861,86.0,0.0
334,14.0,0.003056999999898835,86.0,0.0
335,16.0,0.0038660000000163564,84.0,0.0
336,14.0,0.0032940000000962755,86.0,0.0
337,14.0,0.002716999999847758,86.0,0.0
338,22.0,0.004703999999946973,78.0,0.0
339,15.0,0.002668999999968946,85.0,0.0
340,18.0,0.0038210000002436573,82.0,0.0
341,15.0,0.0029629999999087886,85.0,0.0
342,44.0,0.009782999999970343,-142.0,0.0
343,14.0,0.0036460000001170556,86.0,0.0
344,14.0,0.0034319999999752326,86.0,0.0
345,15.0,0.0036070000001018343,85.0,0.0
346,16.0,0.00287800000023708,84.0,0.0
347,17.0,0.0029300000001057924,83.0,0.0
348,16.0,0.0036769999996977276,84.0,0.0
349,19.0,0.003802000000177941,81.0,0.0
350,15.0,0.0035590000002230227,85.0,0.0
351,14.0,0.0027549999999791908,86.0,0.0
352,17.0,0.0042129999997087,83.0,0.0
353,14.0,0.003117000000202097,86.0,0.0
354,18.0,0.004204999999728898,82.0,0.0
355,15.0,0.0033690000000206055,85.0,0.0
356,31.0,0.006961000000046624,-30.0,0.0
357,16.0,0.0039470000001529115,84.0,0.0
358,14.0,0.002440999999635096,86.0,0.0
359,16.0,0.002181999999720574,84.0,0.0
360,32.0,0.006701999999677355,-31.0,0.0
361,14.0,0.002656000000115455,86.0,0.0
362,16.0,0.0036159999999654246,84.0,0.0
363,28.0,0.004958999999871594,-27.0,0.0
364,20.0,0.004539000000022497,80.0,0.0
365,16.0,0.004359000000022206,84.0,0.0
366,14.0,0.0028800000000046566,86.0,0.0
367,29.0,0.005839999999807333,-28.0,0.0
368,30.0,0.00589799999988827,-29.0,0.0
369,15.0,0.0036410000002433662,85.0,0.0
370,29.0,0.0043150000001332955,-28.0,0.0
371,19.0,0.004957000000104017,81.0,0.0
