steps,time,reward,delta,converged
1,0.06783599999994294,-7.323353293413174,100.00086028865212,False
2,0.06306500000005144,-4.754491017964072,100.00094824298584,False
3,0.07187599999997474,-4.359281437125748,100.00094824298584,False
4,0.06893599999989419,-2.7784431137724552,100.00094824298584,False
5,0.06088199999999233,-2.7784431137724552,100.00094824298584,False
6,0.06777299999998831,-2.9760479041916166,100.00094824298584,False
7,0.0650510000000395,-2.18562874251497,100.00094824298584,False
8,0.06050399999980982,-1.592814371257485,100.00094824298584,False
9,0.08310200000005352,-1.7904191616766467,100.00094824298584,False
10,0.09090700000001561,-1.3952095808383234,100.00094824298584,False
11,0.07901700000002165,-1.7904191616766467,100.00094824298584,False
12,0.07535699999993994,-1.3952095808383234,100.00094824298584,False
13,0.07406799999989744,-1.3952095808383234,100.00094824298584,False
14,0.07756800000015573,-1.9880239520958083,100.00094824298584,False
15,0.06723499999998239,-1.0,100.00094824298584,False
16,0.0641169999998965,-1.7904191616766467,100.00094824298584,False
17,0.06738199999995231,-1.0,100.00094824298584,False
18,0.06571899999994457,-1.3952095808383234,100.00094824298584,False
19,0.06793900000002395,-1.1976047904191616,100.00094824298584,False
20,0.07925000000000182,-1.592814371257485,100.00094824298584,False
21,0.085550000000012,-1.3952095808383234,100.00094824298584,False
22,0.08966800000007424,-1.1976047904191616,100.00094824298584,False
23,0.07450900000003458,-1.3952095808383234,100.00094824298584,False
24,0.05600700000013603,-1.1976047904191616,100.00094824298584,False
25,0.06582400000002053,-1.0,100.00094824298584,False
26,0.0790870000000723,-1.3952095808383234,100.00094824298584,False
27,0.06304399999999077,-1.0,100.00094824298584,False
28,0.06636600000001636,-1.1976047904191616,100.00094824298584,False
29,0.06891600000017206,-1.1976047904191616,100.00094824298584,False
30,0.0591629999998986,-1.0,100.00094824298584,False
31,0.08829900000000634,-1.0,100.00094824298584,False
32,0.08848600000010265,-1.0,100.00094824298584,False
33,0.08645899999987705,-1.0,100.00094824298584,False
34,0.09287700000004406,-1.3952095808383234,100.00094824298584,False
35,0.09083199999986391,-1.1976047904191616,100.00094824298584,False
36,0.08420700000010584,-1.0,100.00094824298584,False
37,0.06362000000012813,-1.3952095808383234,100.00094824298584,False
38,0.0679330000000391,-1.0,100.00094824298584,False
39,0.0670470000000023,-1.0,100.00094824298584,False
40,0.06457499999987704,-1.0,100.00094824298584,False
41,0.06425500000000284,-1.0,100.00094824298584,False
42,0.06235200000014629,-1.0,100.00094824298584,False
43,0.062262000000146145,-1.0,100.00094824298584,False
44,0.06041800000002695,-1.0,100.00094824298584,False
45,0.061142000000018015,-1.1976047904191616,100.00094824298584,False
46,0.059483000000000175,-1.0,100.00094824298584,False
47,0.06045100000005732,-1.0,100.00094824298584,False
48,0.06120299999997769,-1.1976047904191616,100.00094824298584,False
49,0.06510099999991326,-1.1976047904191616,100.00094824298584,False
50,0.06160500000009961,-1.0,100.00094824298584,False
51,0.05679000000009182,-1.0,100.00094824298584,False
52,0.06917900000007648,-1.0,100.00094824298584,False
53,0.08331699999985176,-1.0,100.00094824298584,False
54,0.08798799999999574,-1.0,100.00094824298584,False
55,0.0752909999998792,-1.0,100.00094824298584,False
56,0.0666599999999562,-1.0,100.00094824298584,False
57,0.07504999999991924,-1.0,100.00094824298584,False
58,0.07967000000007829,-1.0,100.00094824298584,False
59,0.09069099999987884,-1.0,100.00094824298584,False
60,0.06558700000005047,-1.0,100.00094824298584,False
61,0.0644760000000133,-1.0,100.00094824298584,False
62,0.06936099999984435,-1.0,100.00094824298584,False
63,0.07500099999992926,-1.0,100.00094824298584,False
64,0.06705700000020443,-1.0,100.00094824298584,False
65,0.0766599999999471,-1.0,100.00094824298584,False
66,0.07951299999990624,-1.0,100.00094824298584,False
67,0.078125,-1.0,100.00094824298584,False
68,0.07688999999982116,-1.0,100.00094824298584,False
69,0.0704169999999067,-1.0,100.00094824298584,False
